회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
위쉬정보기술㈜,원주 도로교통공단 운영 java,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-05-07,2025-04-07,D-26,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹 개발자
㈜이노스트,"[광화문 ]공공기관 데이타이관.os설치,헬프데스크,등등 초급 모집 ...",회사내규에 따름,경력1년,대졸(2~3년),주5일,서울 종로구,2025-05-07,2025-04-07,D-26,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)그레이브릿지,[비블록] 가상자산거래소 개발자 경력직 채용,회사내규에 따름,경력4년,대졸(4년),,서울 강남구,2025-05-07,2025-04-07,D-26,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
㈜우리기술,우리기술 SW개발/임베디드/PSD/영업/시스템 엔지니어 분야 채용,회사내규에 따름,신입/경력,학력무관,주5일,서울 마포구  등,2025-04-30,2025-04-07,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
(주)체스트넛,웹개발 신입 구인,"연봉 2,600 만원 ~ 2,700 만원",신입/경력1년,고졸,주5일,서울 금천구,등록일 : 2025-04-05,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,웹 개발자
㈜웅진,콜센터 AICC 기획 및 운영 관리자 채용,회사내규에 따름,경력무관,학력무관,주5일,서울 중구  등,2025-05-02,2025-04-05,D-21,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
사이테크놀로지스 주식회사,"소프트웨어 개발자를 구합니다(C, Python)","연봉 3,200 만원 ~ 5,000 만원",경력무관,"대졸(4년)
														 ~ 박사",주5일,대전광역시 대덕구 한밭대로,2025-04-24,2025-04-04,D-13,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 메가웍스,(주)메가웍스 프런트엔드 개발자 인재 채용,"연봉 5,000 만원 이상",경력3년,"고졸
														 ~ 박사",주5일,광주광역시 동구 서남로,2025-06-03,2025-04-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
한국국방연구원,한국국방연구원 2025년도 수시 채용공고,회사내규에 따름,신입/경력,학력무관,주5일,서울 동대문구  등,2025-04-16,2025-04-04,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,연구원
현대트랜시스㈜,25년 상반기 경력 채용,회사내규에 따름,경력,대졸(4년),,경기 화성시  등,2025-04-13,2025-04-04,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜인피닉,인피닉 AI연구소 언리얼 엔지니어 채용,회사내규에 따름,신입/경력,대졸(4년),주5일,서울 강남구,2025-05-04,2025-04-04,D-23,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
주식회사캐치잇플레이,AI 교육 플랫폼 - 웹 프론트엔드 개발자  (재택근무 가능),"연봉 4,000 만원 ~ 6,000 만원",경력5년,학력무관,주5일,제주특별자치도 제주시 중앙로,2025-06-03,2025-04-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
(주)블루포인트,무선통신모뎀 FW 개발자 채용,월급 350 만원 ~ 700 만원,경력3년,학력무관,주5일,경기도 안양시 동안구,2025-04-30,2025-04-04,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 진성이디씨,UI/UX 개발자(퍼블리셔) 채용합니다[경력1년이상],월급 230 만원 이상,경력1년,학력무관,주5일,강원특별자치도 춘천시 춘천로,2025-04-30,2025-04-04,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
현대오토에버㈜,품질 관리(항공),회사내규에 따름,경력5년,학력무관,주5일,서울 강남구,2025-04-30,2025-04-04,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,QA/품질관리
와이즈와이어즈주식회사,SW테스트엔지니어 신입/경력직 채용,"연봉 2,600 만원 이상",경력무관,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,서울특별시 성동구 성수동1가,2025-05-12,2025-04-04,D-31,https://www.work24.go.kr/wk/static/images/logo/work24.png,엔지니어
㈜미디어윌,온라인사업실 시스템엔지니어(SE) 경력 채용,회사내규에 따름,경력4년,대졸(2~3년),주5일,서울 서대문구,2025-04-20,2025-04-04,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
(주)소프트제국,"[고양시 거주자만 지원 가능]블록체인/간편인증/보안 시스템, 웹 및...","연봉 3,000 만원 이상",경력무관,학력무관,주5일,경기도 고양시 덕양구,2025-04-23,2025-04-04,D-12,https://www.work24.go.kr/wk/static/images/logo/work24.png,보안담당자
㈜리버앤씨,임베디드 소프트웨어 개발 직무 경력 모집,회사내규에 따름,경력2년,대졸(2~3년),주5일,경기 안양시 동안구 등,2025-04-30,2025-04-04,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,임베디드 개발자
대아수지공업(주),[대아수지공업(주)] S/W개발 및 시스템 유지보수 담당자,월급 270 만원 ~ 290 만원,경력무관,학력무관,주5일,경상북도 구미시 수출대로9길,2025-06-03,2025-04-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,시스템 운영
섹타나인,업무시스템 개발/운영 유지보수 담당자 수시 채용,회사내규에 따름,신입/경력,"대졸(4년)
														 ~ 박사",,서울 강남구,2025-04-14,2025-04-04,D-3,https://www.work24.go.kr/wk/static/images/logo/openRecruit.png,프로그램 운영/AA
주식회사 써지컬에이아이,"의료 영상 기반 영상처리, AI 프로그래머","연봉 3,200 만원 이상",경력2년,학력무관,주5일,서울특별시 강남구 역삼로,2025-04-30,2025-04-04,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 메가웍스,(주)메가웍스 React 개발자 인재 채용,"연봉 5,000 만원 이상",경력3년,"고졸
														 ~ 박사",주5일,광주광역시 동구 서남로,2025-05-30,2025-04-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜안랩,AhnLab 그룹 전 직군 경력직 채용,회사내규에 따름,경력,학력무관,주5일,경기 성남시 분당구 등,2025-04-13,2025-04-04,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
로데슈바르즈코리아 주식회사,로데슈바르즈코리아 R&D 소프트웨어 개발자 신입/경력직(서울),회사내규에 따름,신입/경력,대졸(4년),주5일,서울 강남구,등록일 : 2025-04-04,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
㈜더드림버스,IT 개발자 및 디자이너 경력직 신규 채용,회사내규에 따름,경력,학력무관,주5일,서울 강서구,2025-05-04,2025-04-04,D-23,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
퍼솔켈리코리아 유한회사,[외국계 명품사/서울시청] IT Project Coordinator,회사내규에 따름,경력1년,대졸(4년),주5일,서울 중구,등록일 : 2025-04-04,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
갤럭시아머니트리㈜,[효성 계열사] 갤럭시아머니트리(주) 개발직 채용,회사내규에 따름,신입/경력,대졸(2~3년),,서울 강남구,2025-04-30,2025-04-04,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)유큐브,[일자리매칭플랫폼] [서울] 공공기관 정보시스템 구축 및 운영 유지...,회사내규에 따름,경력3년,대졸(4년),,서울 강남구,2025-06-03,2025-04-04,D-53,https://www.work24.go.kr/wk/static/images/logo/kosme.png,기타
