회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
(주)거룡아이티,"[일자리매칭플랫폼] WEB, JAVA 프로그램 개발자 채용공고",회사내규에 따름,경력3년,학력무관,,경기 고양시 덕양구 등,2025-05-30,2025-03-31,D-49,https://www.work24.go.kr/wk/static/images/logo/kosme.png,개발자
㈜커넥트웨이브,[커넥트웨이브] 메이크샵 개발 직군 채용,회사내규에 따름,신입/경력,학력무관,주5일,서울 금천구,2025-05-01,2025-03-31,D-20,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
위쉬정보기술㈜,명동 교보생명 java pro-c,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-30,2025-03-31,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹 개발자
㈜소프트베이스,2025년 상반기 소프트베이스 경력사원 채용,회사내규에 따름,경력5년,학력무관,,서울 구로구  등,2025-04-30,2025-03-31,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜케이디에듀,"IT 관련, 코딩교육 콘텐츠 개발",회사내규에 따름,경력2년,대졸(4년),주5일,서울 강서구  등,2025-04-30,2025-03-31,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
위쉬정보기술㈜,"구로 LGU 익시오 운영SM (쿠버네티스, python)",회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-30,2025-03-31,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
쇼엠,[(주)쇼엠] 파이썬 개발자 정규직 사원 채용,회사내규에 따름,경력무관,학력무관,주5일,인천 연수구  등,2025-04-30,2025-03-31,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
콘센트릭스서비스코리아(유),2025년 상반기 Catalyst 테크직군 (개발/기획) 장애인 채...,회사내규에 따름,경력1년,학력무관,주5일,서울 용산구,2025-04-30,2025-03-31,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
주봉정보시스템㈜,주봉정보시스템(주) 신입(경력)채용(디지털사이니지 솔루션지원팀. L...,회사내규에 따름,경력1년,학력무관,주5일,서울 강남구  등,2025-05-28,2025-03-31,D-47,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,광고/마케팅 기술
㈜제로백데브,프론트엔드 개발자 채용,회사내규에 따름,경력5년,학력무관,주5일,서울 동작구,2025-04-29,2025-03-30,D-18,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
(주)담소프트,웹개발자 모집합니다 (PHP 개발자 우대),"연봉 3,000 만원 ~ 4,800 만원",신입,학력무관,주5일,충청북도 청주시 상당구,2025-05-27,2025-03-28,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 에그텍,기술연구소 PC 응용 소프트웨어 개발자 모집,월급 240 만원 ~ 300 만원,경력무관,학력무관,주5일,대전광역시 유성구 국제과학21로,2025-05-27,2025-03-28,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜신세계아이앤씨,[25년 2분기] 정보보안 인재모집,회사내규에 따름,경력,학력무관,,서울 중구  등,2025-04-13,2025-03-28,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
(사)한국근로장애인진흥회 양지기전사업단,[양지기전사업단] 자동제어/수배전반 기술직 모집,"연봉 4,000 만원 ~ 8,000 만원",경력3년,학력무관,주5일,경상북도 울진군 평해읍,2025-04-30,2025-03-28,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜스냅컴퍼니,[스냅컴퍼니] 웹솔루션 프론트엔드 개발자 모집,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,등록일 : 2025-03-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
㈜에이알티플러스,플랫폼 SI 소프트웨어 개발 PL 모집,회사내규에 따름,경력10년,대졸(4년),주5일,경기 하남시,2025-04-27,2025-03-28,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)포에스텍,백앤드/프론트앤드 자바 개발자,"연봉 3,400 만원 ~ 6,000 만원",경력2년,대졸(4년),주5일,서울 성동구,등록일 : 2025-03-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
에이아이티스토리㈜,에이아이티스토리 개발자 경력 채용 (웹개발 / AI / 퍼블리셔),회사내규에 따름,경력2년,대졸(4년),주5일,서울 마포구  등,등록일 : 2025-03-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜선명씨앤피,"UI/UX 퍼블리셔 신입, 경력 채용","연봉 3,000 만원 ~ 5,000 만원",신입/경력,대졸(2~3년),주5일,경기 파주시  등,2025-04-27,2025-03-28,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
쿤텍㈜,SW 공급망 보안 관리 솔루션 설계/개발자 채용 공고의 건(경력),회사내규에 따름,경력7년,학력무관,주5일,경기 성남시 수정구 등,2025-05-27,2025-03-28,D-46,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
위쉬정보기술㈜,여의도 삼성증권 PM 모집,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-27,2025-03-28,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜배럴아이,SW Back-end 개발자(의료 영상처리 / 온프레미스 시스템) ...,회사내규에 따름,경력3년,대졸(4년),주5일,서울 강남구  등,2025-04-27,2025-03-28,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜디파이,[DFZ] 프론트엔드 개발자 경력 채용,회사내규에 따름,경력3년,학력무관,주5일,서울 강남구,등록일 : 2025-03-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
하워드랩(주),[일자리매칭플랫폼] 하워드랩(주) 정규직 연구개발자(PCB 아트워킹...,회사내규에 따름,경력2년,학력무관,,충북 청주시 청원구 등,2025-04-27,2025-03-28,D-16,https://www.work24.go.kr/wk/static/images/logo/kosme.png,개발자
테크앤아이코리아주식회사,"프론트엔드, 하이브리드 앱, JAVA 개발자(프래임웍기반)를 구합니...","연봉 2,520 만원 ~ 3,000 만원",경력무관,학력무관,주5일,서울특별시 영등포구 선유로3길,2025-05-26,2025-03-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 에프엠케이(FMK INC.),소프트웨어 개발자 모집,월급 209 만원 이상,신입,"대졸(4년)
														 ~ 석사",주5일,경상북도 구미시 대학로,2025-05-26,2025-03-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사제주속으로,PHP 프로그래머 경력자 채용 공고,"연봉 3,000 만원 ~ 5,000 만원",경력1년,학력무관,주5일,제주특별자치도 제주시 용담로,2025-05-26,2025-03-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
(주)씨이랩,AI Multi Modal 개발자 채용,"연봉 3,000 만원 이상",경력무관,학력무관,주5일,서울특별시 강남구 언주로,2025-05-26,2025-03-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜엔소프트웨어,[경력직] SW 유지 보수 경력(5년 이상) 채용,"연봉 5,000 만원 ~ 5,000 만원",경력5년,대졸(4년),주5일,서울 강남구  등,2025-04-30,2025-03-27,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜이도,(주)YIDO 웹개발자(PM) 채용 (과-차장급),회사내규에 따름,경력8년,대졸(2~3년),주5일,서울 중구,2025-04-26,2025-03-27,D-15,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
주식회사 우진이엔에스,산업 IOT 및 AI 연동 소프트웨어 플랫폼 개발자/프로그래머 신입...,"연봉 2,800 만원 ~ 4,000 만원",경력1년,학력무관,주5일,전북특별자치도 완주군 오공로,2025-04-14,2025-03-27,D-3,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜동양이엠에스,[금천/ 일 4시간 근무]대기업 자사몰 웹퍼블리셔 채용,회사내규에 따름,경력3년,학력무관,주5일,서울 금천구,2025-04-26,2025-03-27,D-15,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜다인리더스,(주)다인리더스 유니티 클라이언트 개발자 경력 채용,회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 성동구,등록일 : 2025-03-27,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜한스웰,C# .NET 개발자 5년이상 경력직 채용 (백엔드 개발분야),회사내규에 따름,경력5년,대졸(2~3년),주5일,서울 금천구  등,2025-04-26,2025-03-27,D-15,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
와이즈와이어즈㈜,[와이즈와이어즈] 소프트웨어테스트엔지니어(SQA) 신입/경력직 채용,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 성동구,2025-04-14,2025-03-27,D-3,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
와이즈와이어즈㈜,[와이즈와이어즈] 글로벌 사업부 소프트웨어테스트엔지니어(SQA)  ...,회사내규에 따름,경력2년,대졸(2~3년),주5일,서울 성동구,2025-04-14,2025-03-27,D-3,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
㈜이도,(주)YIDO 웹기획자 채용 (대리-과장급),회사내규에 따름,경력4년,대졸(2~3년),주5일,서울 중구,2025-04-26,2025-03-27,D-15,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜엔에스텍,시스템/응용 프로그래머 채용,회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 강남구,2025-04-30,2025-03-27,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜카스,(주) 카스 산업용 계측기 개발 팀원 모집,"연봉 3,500 만원 ~ 3,500 만원",신입/경력,대졸(2~3년),주5일,경기 양주시,2025-05-26,2025-03-27,D-45,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)지지옥션,(주)지지옥션 데이터랩과 함께할 동료를 모집합니다.,"연봉 3,700 만원 ~ 3,700 만원",경력1년,학력무관,주5일,서울특별시 용산구 청파로49길,2025-05-25,2025-03-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
이비티 주식회사,2025년 상반기 기업부설연구소 직원 공개모집,"연봉 3,000 만원 ~ 6,000 만원",경력2년,학력무관,주5일,경기도 성남시 수정구,2025-05-25,2025-03-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,해외법인/글로벌 운영지원
㈜어셔어학원,어셔어학원 프로그래머 구인,"연봉 3,500 만원 ~ 3,500 만원",경력1년,학력무관,주5일,서울 서초구,2025-05-25,2025-03-26,D-44,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
에이스메디칼㈜,"사업.전략기획/영업/품질보증/품질관리/연구소(F/W,H/W)/구매자...",회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 강동구  등,2025-04-25,2025-03-26,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜드림텍,(주)드림텍 2025년 2분기 연구·개발부문 채용,회사내규에 따름,경력3년,대졸(4년),,충남 아산시  등,2025-04-13,2025-03-26,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜ 코리아캐슬,사이트 제작 기획 및 진행 관리자 채용 Junior Middle 가...,월급 230 만원 ~ 230 만원,경력무관,학력무관,주5일,서울 용산구,2025-04-25,2025-03-26,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
엔큐리티㈜,[IT정보보안] 개발/기획QC/GUI디자이너 경력 채용,회사내규에 따름,경력3년,학력무관,주5일,경기 성남시 분당구 등,2025-04-25,2025-03-26,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜이노피아테크,임베디드 S/W개발자 채용,회사내규에 따름,신입/경력,고졸,주5일,경기 성남시 중원구 등,2025-04-25,2025-03-26,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타 개발자
㈜제니엘,[한화시스템/데이터센터/파견] 클라우드 인프라 운영 담당자 채용,회사내규에 따름,경력,학력무관,주5일,경기 용인시 수지구 등,2025-04-25,2025-03-26,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜스냅컴퍼니,[스냅컴퍼니] 스킨팀 퍼블리셔 채용 모집 공고,회사내규에 따름,경력,학력무관,주5일,서울 강남구,등록일 : 2025-03-26,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
우리에프아이에스㈜,미들웨어 운영 경력 채용,회사내규에 따름,경력2년,학력무관,주5일,서울 마포구,2025-04-30,2025-03-26,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜보배네트워크,[보배드림] 모바일/웹 기획자 채용,"연봉 4,800 만원 ~ 6,000 만원",경력3년,학력무관,주5일,서울 양천구,2025-04-25,2025-03-26,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
(주)지성이엔지,소프트웨이 연구원 모집합니다,"연봉 3,000 만원 ~ 5,000 만원",경력1년,"대졸(2~3년)
														 ~ 석사",주5일,경상북도 경주시 승삼신리길,2025-04-19,2025-03-25,D-8,https://www.work24.go.kr/wk/static/images/logo/work24.png,연구원
(주)소암컨설턴트,개발자(응용소프트웨어),"연봉 2,800 만원 ~ 3,800 만원",경력2년,"대졸(2~3년)
														 ~ 석사",주5일,대전광역시 유성구 테크노5로,2025-04-15,2025-03-25,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜엠아이티마스,[죽전] 대형보험사 WAS 운영관리,회사내규에 따름,경력1년,대졸(2~3년),주5일,경기 용인시 수지구 등,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
경신홀딩스,2025년 부문별 신입/경력채용,회사내규에 따름,신입/경력,"대졸예정(4년)
														 ~ 박사",,인천 연수구  등,2025-04-12,2025-03-25,D-1,https://www.work24.go.kr/wk/static/images/logo/openRecruit.png,기타
(주)코리안프렌즈,패션테크 기업에서 기업부설연구소 R&D 연구원 모집합니다. ...,"연봉 3,600 만원 ~ 4,800 만원",경력무관,"석사
														 ~ 박사",주5일,서울특별시 금천구 서부샛길,2025-05-24,2025-03-25,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,연구원
유비퍼스트대원,2025년 부문별 경력사원 모집,회사내규에 따름,경력,학력무관,,경기 성남시 수정구 등,2025-05-24,2025-03-25,D-43,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
넛지헬스케어㈜,[캐시워크-병역특례] iOS개발 산업기능요원,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,앱 개발자
㈜레진엔터테인먼트,[다우키움 계열사] 데이터 엔지니어 (경력),회사내규에 따름,경력3년,학력무관,주5일,서울 성동구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
㈜레진엔터테인먼트,[다우키움계열사] 레진코믹스 백엔드 개발자 (경력),회사내규에 따름,경력3년,학력무관,주5일,서울 성동구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
넛지헬스케어㈜,[캐시워크-병역특례] 백엔드개발 산업기능요원,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
넛지헬스케어㈜,[캐시워크] 프론트엔드개발 채용전환형 인턴,회사내규에 따름,경력무관,대졸(4년),주5일,서울 강남구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
넛지헬스케어㈜,[캐시워크] 백엔드개발 채용전환형 인턴,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
넛지헬스케어㈜,[캐시워크] 안드로이드개발 채용전환형 인턴,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,앱 개발자
넛지헬스케어㈜,[캐시워크] Flutter개발 채용전환형 인턴,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜파미유,[영업/상품MD/IT 전산관리/구매자재/재무회계] 각 부문 채용,회사내규에 따름,경력,학력무관,주5일,경기 파주시  등,2025-04-11,2025-03-25,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
㈜엔소프트웨어,[경력직] Software Development 경력(2년 이상) ...,"연봉 3,000 만원 ~ 4,000 만원",경력2년,대졸(4년),주5일,서울 강남구  등,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜엠아이티마스,[안양/금융권] 서비스 배포 및 반영,회사내규에 따름,경력무관,대졸(2~3년),주5일,경기 안양시 동안구 등,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜유니온커뮤니티,2025년 (주)유니온커뮤니티 R&D 부문 경력직 채용,회사내규에 따름,경력3년,학력무관,주5일,서울 송파구,2025-05-24,2025-03-25,D-43,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜트러스트에이엔씨,(주)트러스트에이엔씨 자동창고 시스템 S/W 개발 기술직 모집합니다...,회사내규에 따름,경력2년,대졸(2~3년),주5일,서울 강서구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)플래티어,[ECS사업부문] 이커머스 플랫폼 개발자 (주임급 이상),회사내규에 따름,경력2년,학력무관,주5일,서울 송파구,등록일 : 2025-03-25,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
위쉬정보기술㈜,상암 통신사 메세징서비스 운영 vue,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-24,2025-03-25,D-13,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜티맥스소프트,"[TmaxSoft] 연구본부 FW 개발자 (FW개발1,4팀)",회사내규에 따름,경력2년,대졸(4년),주5일,경기 성남시 분당구 등,2025-05-24,2025-03-25,D-43,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
주식회사 케어비즈,(주)케어비즈 - 웹 개발자(java) 경력사원 채용 공고(정규직/...,"연봉 5,000 만원 이상",경력4년,"대졸(2~3년)
														 ~ 박사",주5일,서울특별시 성동구 아차산로17길,2025-04-16,2025-03-24,D-5,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)우리요,[IT기업] 안드로이드 개발자 채용,"연봉 3,500 만원 ~ 6,000 만원",경력3년,학력무관,주5일,전북특별자치도 전주시 완산구,2025-05-22,2025-03-24,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)대호아이앤티,부설연구소 -  소프트웨어 개발자 모집,"연봉 3,000 만원 ~ 4,000 만원",경력무관,학력무관,주5일,경상남도 창원시 마산회원구,2025-04-24,2025-03-24,D-13,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 비에스,"C#, Unity SW개발자 채용 [경력]","연봉 3,000 만원 이상",경력3년,"대졸(4년)
														 ~ 박사",주5일,경상북도 포항시 북구,2025-04-14,2025-03-24,D-3,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타 개발자
주식회사 제이원소프트,공장자동화 S/W 개발자 모집,"연봉 3,100 만원 ~ 3,500 만원",경력무관,"고졸
														 ~ 대졸(4년)",주5일,경기도 용인시 기흥구,2025-05-20,2025-03-24,D-39,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
크레신㈜,"SW(공정SW), 무선충전 개발, 품질보증 채용",회사내규에 따름,신입/경력,학력무관,주5일,서울 서초구  등,등록일 : 2025-03-24,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,QA/품질관리
주식회사 브리,프리랜서 웹 프론트앤드 개발자 구인,"시급 14,000 원 ~ 14,000 원",경력무관,대졸(4년),,서울특별시 관악구 조원로,2025-05-23,2025-03-24,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 하티웍스 (Heartyworks Inc.),[정규직/경력] 기술사업팀 백엔드 개발/기술PM 모집,"연봉 6,000 만원 이상",경력3년,학력무관,주5일,서울특별시 구로구 디지털로,2025-04-20,2025-03-24,D-9,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 하티웍스 (Heartyworks Inc.),[정규직/장애인 채용] 기술사업팀 백엔드 개발자,"연봉 3,000 만원 이상",신입,학력무관,주5일,서울특별시 구로구 디지털로,2025-04-20,2025-03-24,D-9,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
딱플 주식회사(DDAKPLE),[딱플] 개발팀 백엔드/서버 개발자 경력직 채용,회사내규에 따름,경력5년,대졸(4년),주5일,충남 천안시 서북구 등,등록일 : 2025-03-24,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,웹/앱 개발자
㈜케이엠에스,(주)케이엠에스 정보처리 및 정보통신분야(기사자격증) 직원 채용,"연봉 3,200 만원 ~ 4,300 만원",신입/경력,대졸(4년),주5일,인천 서구,2025-04-30,2025-03-24,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜펄어비스,[펄어비스] 게임 엔진 프로그래머 모집,회사내규에 따름,경력2년,학력무관,주5일,경기 과천시,2025-05-23,2025-03-24,D-42,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜펄어비스,[펄어비스] 게임 플레이 프로그래머 모집,회사내규에 따름,경력3년,학력무관,주5일,경기 과천시,2025-05-23,2025-03-24,D-42,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜이터널,[S/W개발본부] React Native 모바일 앱 개발 담당자 모...,회사내규에 따름,경력3년,학력무관,주5일,서울 송파구,2025-05-23,2025-03-24,D-42,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,앱 개발자
광명산업㈜,광명산업(주) 전산팀 경력직 채용 공고,회사내규에 따름,경력2년,대졸(4년),주5일,경기 광명시,2025-04-23,2025-03-24,D-12,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
㈜수산아이앤티,수산INT 개발직군 채용(신입/경력/병역특례),회사내규에 따름,신입/경력,대졸(4년),주5일,대전 서구  등,2025-05-23,2025-03-24,D-42,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜애쇼,㈜애쇼 부문별(홍보/상품기획/전산운영/지점개발/구매/차량정비시스템)...,"연봉 4,800 만원 ~ 4,800 만원",경력,대졸(4년),주5일,경기 안산시 단원구 등,2025-04-23,2025-03-24,D-12,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
가온플랫폼주식회사,[일자리매칭플랫폼] [가온플랫폼(주)] 소프트웨어(S/W) 개발자 ...,회사내규에 따름,신입/경력1년,대졸(4년),,대전 유성구,2025-05-18,2025-03-24,D-37,https://www.work24.go.kr/wk/static/images/logo/kosme.png,개발자
㈜엠플라인,[성수/코드모바일/보안] 정보보호 담당자 채용,회사내규에 따름,경력,대졸(2~3년),주5일,서울 성동구  등,2025-05-21,2025-03-23,D-40,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
㈜엔지아커넥트,방위 산업 분야의 소프트웨어 개발자 채용,"연봉 4,500 만원 ~ 4,500 만원",경력,대졸(4년),주5일,서울 금천구,등록일 : 2025-03-23,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜바이오컴,[AI 헬스케어] 소프트웨어 개발자 채용,회사내규에 따름,경력5년,대졸(4년),주5일,서울 강서구,2025-04-21,2025-03-22,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
(주)토탈소프트뱅크,[2025.3.28.(금) 부산권 대학과 함께 하는 DREAM ON...,"연봉 2,800 만원 ~ 3,000 만원",경력무관,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,부산광역시 해운대구 반송로513번길,2025-05-20,2025-03-21,D-39,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 시스커스,프로그래머 개발자 모집,"연봉 3,500 만원 이상",경력2년,학력무관,주5일,경기도 화성시 동탄대로23길,2025-05-19,2025-03-21,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜오성정보통신,[공공기관] IPT 시스템 및 네트워크 엔지니어/상주 전송망 엔지니...,회사내규에 따름,신입/경력,학력무관,주5일,광주 광산구  등,2025-04-20,2025-03-21,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
주식회사다올앤컴퍼니,JAVA 개발자 초중급 인재 모십니다.,"연봉 2,600 만원 ~ 3,600 만원",경력무관,학력무관,주5일,서울특별시 강서구 마곡중앙4로,2025-05-19,2025-03-21,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
JMP코리아,[정보보안 / ISMS] 코드모바일 정보보호팀 경력직 채용,"연봉 2,800 만원 ~ 4,000 만원",경력무관,학력무관,주5일,서울 성동구,2025-04-20,2025-03-21,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
리파인,각 부문별 신입/경력 채용공고,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 송파구,2025-04-25,2025-03-21,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
키다리스튜디오,[다우키움 계열사] 프론트엔드 웹 개발자 (경력),회사내규에 따름,경력8년,대졸(4년),주5일,서울 성동구,2025-04-21,2025-03-21,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
키다리스튜디오,[다우키움 계열사] 웹툰 플랫폼 안드로이드 개발 (경력),회사내규에 따름,경력7년,학력무관,주5일,서울 성동구,2025-04-21,2025-03-21,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,앱 개발자
키다리스튜디오,[다우키움 계열사] 웹툰 플랫폼 백엔드 개발자 (경력),회사내규에 따름,경력3년,학력무관,주5일,서울 성동구,2025-04-21,2025-03-21,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
키다리스튜디오,[다우키움 계열사] DevOps 개발자 (경력),회사내규에 따름,경력6년,학력무관,주5일,서울 성동구,2025-04-21,2025-03-21,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
키다리스튜디오,[다우키움 계열사] 웹툰 매출/정산 시스템 개발자(Vue/React...,회사내규에 따름,경력5년,대졸(4년),주5일,서울 성동구,2025-04-21,2025-03-21,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
키다리스튜디오,[다우키움 계열사] 웹툰 콘텐츠관리 시스템 개발자(Java/Spri...,회사내규에 따름,경력9년,대졸(4년),주5일,서울 성동구,2025-04-21,2025-03-21,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
넛지헬스케어㈜,[캐시워크] 백엔드/서버 개발자,회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 강남구,2025-04-20,2025-03-21,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
